Author,Song Name,File Name,File Path
Dhijendrolal Roy,আজি নূতন রতনে ভূষণে,song1_আজি নূতন রতনে ভূষণে.docx,Data/Dhijendrolal Roy/song1_আজি নূতন রতনে ভূষণে.docx
Dhijendrolal Roy,ওরে আমার সাধের বীণা,song2_ওরে আমার সাধের বীণা.docx,Data/Dhijendrolal Roy/song2_ওরে আমার সাধের বীণা.docx
Dhijendrolal Roy,আমরা – মলয় বাতাসে ভেসে যাবো,song5_আমরা – মলয় বাতাসে ভেসে যাবো.docx,Data/Dhijendrolal Roy/song5_আমরা – মলয় বাতাসে ভেসে যাবো.docx
Dhijendrolal Roy,তুমি বাঁধিয়া কী দিয়ে রেখেছ হৃদি এ,song6_তুমি বাঁধিয়া কী দিয়ে রেখেছ হৃদি এ.docx,Data/Dhijendrolal Roy/song6_তুমি বাঁধিয়া কী দিয়ে রেখেছ হৃদি এ.docx
Dhijendrolal Roy,হৃদয় আমার গোপন করে,song3_হৃদয় আমার গোপন করে.docx,Data/Dhijendrolal Roy/song3_হৃদয় আমার গোপন করে.docx
Dhijendrolal Roy,আমরা এমনই এসে ভেসে যাই,song4_আমরা এমনই এসে ভেসে যাই.docx,Data/Dhijendrolal Roy/song4_আমরা এমনই এসে ভেসে যাই.docx
Dhijendrolal Roy,"আইল ঋতুরাজ সজনি, জ্যোত্স্না‌ময় মধুর রজনি","song7_আইল ঋতুরাজ সজনি, জ্যোত্স্না‌ময় মধুর রজনি.docx","Data/Dhijendrolal Roy/song7_আইল ঋতুরাজ সজনি, জ্যোত্স্না‌ময় মধুর রজনি.docx"
Dhijendrolal Roy,"আজি এসেছি আজি এসেছি, এসেছি বঁধু হে","song8_আজি এসেছি আজি এসেছি, এসেছি বঁধু হে.docx","Data/Dhijendrolal Roy/song8_আজি এসেছি আজি এসেছি, এসেছি বঁধু হে.docx"
Dhijendrolal Roy,আজি তোমার কাছে ভাসিয়া যায়,song9_আজি তোমার কাছে ভাসিয়া যায়.docx,Data/Dhijendrolal Roy/song9_আজি তোমার কাছে ভাসিয়া যায়.docx
Pagol Hasan,গ্রামে গঞ্জে,song3_গ্রামে গঞ্জে.docx,Data/Pagol Hasan/song3_গ্রামে গঞ্জে.docx
Pagol Hasan,মাটির বালাখানা,song4_মাটির বালাখানা.docx,Data/Pagol Hasan/song4_মাটির বালাখানা.docx
Pagol Hasan,কলংকি,song1_কলংকি.docx,Data/Pagol Hasan/song1_কলংকি.docx
Pagol Hasan,দয়াল,song2_দয়াল.docx,Data/Pagol Hasan/song2_দয়াল.docx
Deowan Nazrul Islam,ও অনুপমা ও নিরুপমা,song7_ও অনুপমা ও নিরুপমা.docx,Data/Deowan Nazrul Islam/song7_ও অনুপমা ও নিরুপমা.docx
Deowan Nazrul Islam,আমার মান তোমার মান,song2_আমার মান তোমার মান.docx,Data/Deowan Nazrul Islam/song2_আমার মান তোমার মান.docx
Deowan Nazrul Islam,চোর চোর আমি ধরেছি,song9_চোর চোর আমি ধরেছি.docx,Data/Deowan Nazrul Islam/song9_চোর চোর আমি ধরেছি.docx
Deowan Nazrul Islam,এই হাতে লেখা আছে,song3_এই হাতে লেখা আছে.docx,Data/Deowan Nazrul Islam/song3_এই হাতে লেখা আছে.docx
Deowan Nazrul Islam,আমি মোহাম্মদ আলী,song5_আমি মোহাম্মদ আলী.docx,Data/Deowan Nazrul Islam/song5_আমি মোহাম্মদ আলী.docx
Deowan Nazrul Islam,চুমকি চলেছে একা পথে,song10_চুমকি চলেছে একা পথে.docx,Data/Deowan Nazrul Islam/song10_চুমকি চলেছে একা পথে.docx
Deowan Nazrul Islam,চোর আমি ডাকু আমি বল না,song8_চোর আমি ডাকু আমি বল না.docx,Data/Deowan Nazrul Islam/song8_চোর আমি ডাকু আমি বল না.docx
Deowan Nazrul Islam,মোছু আংকেল ম্যাও ম্যাও,song1_মোছু আংকেল ম্যাও ম্যাও.docx,Data/Deowan Nazrul Islam/song1_মোছু আংকেল ম্যাও ম্যাও.docx
Deowan Nazrul Islam,চোর চোর সবাই চোর,song6_চোর চোর সবাই চোর.docx,Data/Deowan Nazrul Islam/song6_চোর চোর সবাই চোর.docx
Deowan Nazrul Islam,কেন রে চুমকি,song4_কেন রে চুমকি.docx,Data/Deowan Nazrul Islam/song4_কেন রে চুমকি.docx
Amitav Reza,এই শহর আমার,song1_এই শহর আমার.docx,Data/Amitav Reza/song1_এই শহর আমার.docx
Shohid Mahmud Jongi,ফরেস্ট হিলে এক দুপুরে,song9_ফরেস্ট হিলে এক দুপুরে.docx,Data/Shohid Mahmud Jongi/song9_ফরেস্ট হিলে এক দুপুরে.docx
Shohid Mahmud Jongi,যতীন স্যারের ক্লাসে,song2_যতীন স্যারের ক্লাসে.docx,Data/Shohid Mahmud Jongi/song2_যতীন স্যারের ক্লাসে.docx
Shohid Mahmud Jongi,সাগরের ঐ প্রান্তরে,song6_সাগরের ঐ প্রান্তরে.docx,Data/Shohid Mahmud Jongi/song6_সাগরের ঐ প্রান্তরে.docx
Shohid Mahmud Jongi,চল না হারিয়ে যাই,song4_চল না হারিয়ে যাই.docx,Data/Shohid Mahmud Jongi/song4_চল না হারিয়ে যাই.docx
Shohid Mahmud Jongi,আজ যে শিশু,song5_আজ যে শিশু.docx,Data/Shohid Mahmud Jongi/song5_আজ যে শিশু.docx
Shohid Mahmud Jongi,সময় যেন কাটে না,song8_সময় যেন কাটে না.docx,Data/Shohid Mahmud Jongi/song8_সময় যেন কাটে না.docx
Shohid Mahmud Jongi,হারানো দিনকে যদি ফিরে আমি পাই,song1_হারানো দিনকে যদি ফিরে আমি পাই.docx,Data/Shohid Mahmud Jongi/song1_হারানো দিনকে যদি ফিরে আমি পাই.docx
Shohid Mahmud Jongi,হৃদয় কাঁদা মাটির কোন মূর্তি নয়,song7_হৃদয় কাঁদা মাটির কোন মূর্তি নয়.docx,Data/Shohid Mahmud Jongi/song7_হৃদয় কাঁদা মাটির কোন মূর্তি নয়.docx
Shohid Mahmud Jongi,চায়ের কাপে,song3_চায়ের কাপে.docx,Data/Shohid Mahmud Jongi/song3_চায়ের কাপে.docx
Mukul Chowdhury,কত দূরে আর কত দূরে ভালবাসার ঠিকানা,song8_কত দূরে আর কত দূরে ভালবাসার ঠিকানা.docx,Data/Mukul Chowdhury/song8_কত দূরে আর কত দূরে ভালবাসার ঠিকানা.docx
Mukul Chowdhury,ওগো তুমি যে আমার কত প্রিয়,song10_ওগো তুমি যে আমার কত প্রিয়.docx,Data/Mukul Chowdhury/song10_ওগো তুমি যে আমার কত প্রিয়.docx
Mukul Chowdhury,ওরে নাচ নাচ নাচ দিওয়ানি হেলে দুলে নাচ,song5_ওরে নাচ নাচ নাচ দিওয়ানি হেলে দুলে নাচ.docx,Data/Mukul Chowdhury/song5_ওরে নাচ নাচ নাচ দিওয়ানি হেলে দুলে নাচ.docx
